name,reg_number,address,head,head_job,head_inn,phone,email,site,registration_date,nalogoplatelschik_code,oktmo_code,okato_code,registration_region,okato_name,field,"capital,RUB","income,RUB"
Горбачев Инк,5293084733845,"клх Минеральные Воды, ул. Театральная, д. 55, 290779",Сократ Брониславович Симонов,Дизайнер-конструктор,935815591544,+7 (262) 350-3656,mjasnikovgremislav@gushchina.org,npo.biz,2016-04-29,1983-05-18,20820080783,20447589034,Kovylkino,"д. Геленджик, наб. Рыбацкая, д. 31 к. 284, 137796",Синтез кроссплатформенных систем,85020237322,87909829898
"РАО «Рыбакова, Моисеева и Третьяков»",4726169491358,"п. Чокурдах, пер. Линейный, д. 5/3, 553680",Стрелков Пров Юльевич,Иллюстратор,173050718969,+74201002727,miroslavkondratev@npo.info,npo.ru,2004-02-28,1986-11-24,20906619455,98932664423,Kolomyagi,"д. Ясный (Оренб.), алл. Щетинкина, д. 3 стр. 24, 907066",Модернизация критически важных метрик,83835286302,94019121516
Татэнергосбыт,2791430065724,"клх Петропавловск-Камчатский, пер. Рабочий, д. 48 к. 7/9, 867754",Харлампий Вилорович Вишняков,Стоматолог,281578625230,8 (878) 984-0993,glafira02@gmail.com,porshe.net,2008-07-04,1997-10-16,58039739637,84642103736,Kachkanar,"г. Моршанск, бул. К.Маркса, д. 6 стр. 502, 805420",Охват распределённых интернет-продавцоы,67690003435,99435516274
АО «Комаров»,7073080831229,"клх Грозный, наб. Покровская, д. 650 к. 3, 859856",Гусев Аникита Харлампьевич,Портной,391753469823,84860322911,kliment72@qiwi.com,npo.biz,1973-06-04,2019-08-21,70433127543,11119285859,Kashira,"клх Кинешма, алл. Молодежная, д. 250 стр. 1, 690720",Освоение открытых интерфейсов,95696794297,39632615231
РАО «Тетерина Дементьев»,3195655909569,"д. Тольятти, пр. Некрасова, д. 5/4 к. 2/7, 264823",Трофимов Селиван Матвеевич,Юрист,491435460276,8 (746) 469-74-43,kapiton99@zimina.org,kalinin.biz,2005-12-25,2011-08-20,28663850842,47949478910,Volokolamsk,"ст. Кирово-Чепецк, ул. Логовая, д. 70 стр. 7/1, 163839",Распределение инновационных моделей,44191885883,75960684235
"РАО «Сафонова, Мельникова и Виноградов»",4518885929302,"п. Благовещенск (Амур.), ш. Ветеранов, д. 39 к. 9/7, 141570",Абрамов Дементий Васильевич,Токарь,968048428696,84556434034,pankrat_57@yandex.ru,osipova.info,1996-04-24,2018-03-22,98707787439,81613645327,Ishim,"п. Александровск-Сахалинский, ул. Высоковольтная, д. 8 стр. 3, 841144",Развитие активных инфраструктур,47091728221,81590313249
Анисимова Лимитед,3626270689731,"ст. Ялуторовск, наб. Камская, д. 98, 989202",Гущин Аскольд Анатольевич,Дирижёр,293128896936,+7 (531) 144-43-03,turovpanfil@hotmail.com,zao.biz,1985-01-25,1981-06-24,97250672582,33607457215,Solntsevo,"п. Чегем, наб. Журавлева, д. 98 стр. 6, 368481",Включение кроссплатформенных инфопосредников,51794781997,67471622379
ИП «Филатова-Гущина»,8232433106216,"д. Томпа, наб. Майская, д. 8, 237981",Максимов Остромир Захарьевич,Аккумуляторщик,666673563650,8 106 524 48 78,ignatovaoktjabrina@orehov.edu,rao.info,2019-04-16,1973-05-11,76441604438,11521178140,Oktyabr‚Äôskiy,"д. Чебоксары, ул. Крупской, д. 31, 412464",Оптимизация совместных партнерств,87004459182,79911754970
Владимирова Инк,1981931732965,"д. Кашира, пр. Камский, д. 399, 336326",Григорьев Зосима Игнатович,Фермер,377093087035,+76303630227,ishashkov@gmk.net,ao.edu,2018-12-27,1975-08-11,85046399253,86488891700,Roslavl‚Äô,"г. Кежма, наб. Дальневосточная, д. 5 к. 366, 647190",Перепрофилирование распределённых инфраструктур,45051521786,74349976030
АО «Сазонова»,3482084220439,"клх Амдерма, ш. Космонавтов, д. 5/9 стр. 26, 148627",Федосеев Каллистрат Брониславович,Педагог,581865132298,+7 (643) 617-0307,selivanbelov@gk.biz,rao.edu,1975-03-22,2002-09-12,84314911121,87874865881,Oktyabr‚Äôskiy,"п. Вилюйск, ул. Мирная, д. 50, 659458",Использование популярных методик,17430533079,62948565566
НПО «Данилова-Карпов»,7241440522410,"к. Сосновый Бор, ул. Светлая, д. 7/2 стр. 829, 618088",Титов Исидор Харлампович,Агроном по защите растений,841967395801,8 (808) 927-25-08,kozlovaevdokija@rao.ru,rao.edu,2001-11-11,2010-10-22,66459114417,95171076457,Aykhal,"г. Уфа, ул. Сиреневая, д. 3 стр. 49, 161424",Максимизация наглядных сетей,91512652255,23021884913
Вольво Карс (Zhejiang Geely),2596408307603,"клх Неплюевка, алл. М.Горького, д. 6/4 к. 70, 766212",Филимон Дорофеевич Молчанов,Министр,991951385204,+7 (166) 026-7659,gavrilovevstafi@zao.org,zao.biz,2016-11-20,2020-04-08,59506159070,85705059969,Aykhal,"к. Томск, бул. Коммунальный, д. 48 стр. 7, 013531",Культивация веб-ориентированных моделей,84409177538,49946964483
БМВ Русланд Трейдинг (BMW),5918748015054,"клх Миллерово, пер. Строителей, д. 48 стр. 716, 035542",Комаров Флорентин Глебович,Бондарь,765833725639,+7 (121) 961-84-12,silanti_04@hotmail.com,npo.ru,2014-12-01,1976-01-31,20078562511,19218313134,Nikolayevsk-on-Amure,"к. Йошкар-Ола, бул. Культуры, д. 57, 203060",Эксплуатация стратегических аудиторий,42651558258,26203256912
Мострансавто,4954244330843,"клх Коломна, наб. Средняя, д. 4/8 стр. 3/8, 227420",Лучезар Даниилович Ильин,Бульдозерист,442387408954,86091304012,evlampi_2017@npo.ru,ooo.biz,1984-04-15,1994-08-23,63807661399,24514397711,Otradnyy,"г. Кингисепп, ш. Некрасова, д. 9/3 к. 276, 347031",Революция надежных отношений,56109019837,52091305283
ЛГ Электроникс Рус (LG),7755187707720,"п. Нижнекамск, наб. Матросова, д. 426 к. 8, 134665",Болеслав Феоктистович Авдеев,Редактор,806967744814,8 433 549 30 88,militsa43@mail.ru,ao.info,2015-12-06,1996-02-22,20865643641,91038149582,Kireyevsk,"п. Данков, пр. Гайдара, д. 669, 514935",Продление целостных результатов,58141501549,11749330815
НПО «Попова»,4598398857349,"к. Петрозаводск, пр. М.Горького, д. 17, 036675",Вацлав Федотович Андреев,Фтизиатр,884977586630,+7 300 355 61 85,david2007@npo.com,npo.org,1986-01-02,1996-02-09,49207303269,15832148148,Novosilikatnyy,"ст. Можга, алл. Пионерская, д. 1/3 к. 4/1, 780642",Конструирование кроссплатформенных систем,55867199195,65721149142
ОАО «Крылов-Исаев»,7193576487372,"д. Шатура, алл. Железнодорожная, д. 33, 469675",Авксентий Ермилович Уваров,Автоэлектрик,172587252836,+72163590688,panfilkrilov@npo.ru,nikitina.ru,1972-02-25,2007-07-03,73793141162,69589766450,Danilov,"клх Рославль, пр. Вольный, д. 5/1 стр. 9, 041178",Формирование серверных приложений,9082917468,96209601353
ООО «Лапина»,6754799589897,"клх Павловский Посад, ш. Марта 8, д. 2/8, 301337",Яков Захарьевич Рожков,Художник,544509469640,8 (147) 826-62-39,veselovvlas@yahoo.com,saturn-r.biz,1988-11-29,1987-02-06,44000891866,56400871919,Otradnyy,"д. Урюпинск, бул. Волкова, д. 9 к. 6/1, 516884",Использование эффективных интернет-продавцоы,71503347520,45902800713
ОАО «Селезнев Жданов»,6001671095380,"д. Одинцово, бул. Северный, д. 995 к. 8/9, 322337",Данила Измаилович Ильин,Химик-аналитик,321724220657,85848591048,julian_1996@ao.net,npo.org,1980-10-03,1990-01-27,96862129457,76360206739,Tyoply Stan,"клх Кировск (Ленин.), ш. Горное, д. 78 стр. 2, 791193",Производство современных архитектур,92504895884,35214583843
Группа Содружество,6613349294590,"д. Асбест, пер. Крайний, д. 5, 192836",Савельев Бажен Харлампович,Рентгенолог,500226023773,+7 (202) 360-7556,pestovgalaktion@fadeeva.ru,oao.edu,1984-08-20,2007-07-25,14463415599,87178924459,Privolzhskiy,"ст. Кашира, наб. 50 лет Победы, д. 51 стр. 486, 140120",Монетизация критически важных интернет-компаний,42670310248,20792548950
НПО «Гуляев»,7562680174291,"клх Сасово, наб. Кольцевая, д. 788, 077786",Павел Власович Горбачев,Учёный,301872309187,+7 439 207 08 35,rodionovratmir@rambler.ru,vladimirov.info,1984-04-02,1997-01-08,80096656825,35896516575,Lesnoy,"ст. Пушкин, пер. Сурикова, д. 6 стр. 16, 156458",Культивация глобальных интернет-компаний,38301013883,39568389831
ООО «Лобанова»,6619369817375,"клх Великий Устюг, наб. Леонова, д. 79, 700428",Давыд Брониславович Федотов,Кондитер,599455346647,+7 (271) 090-4432,borisovviktor@mail.ru,ip.biz,1990-10-11,2013-08-27,72427426064,40363025660,Dyat‚Äôkovo,"с. Клин, ул. Фадеева, д. 198 стр. 996, 218821",Инновация эффективных методик,83040802580,73737903400
ИП «Брагин-Тетерин»,2355714930041,"клх Новочеркасск, алл. Пугачева, д. 828 к. 2/3, 215669",Мамонтов Фадей Трифонович,Скотник,607756744365,8 (316) 698-6981,hkostina@gromov.net,oao.info,1983-11-23,1982-05-02,73626739085,28194264816,Yablonovskiy,"п. Костомукша, пр. Родниковый, д. 98 к. 59, 623695",Переход динамичных интернет-магазинов,63145971337,52913421260
ОАО «Александров»,7165093520986,"п. Ростов-на-Дону, пер. Металлургов, д. 888 к. 157, 596225",Егор Владленович Ларионов,Хореограф,149255676155,8 (799) 746-27-77,taisija_2001@zao.info,pervi.com,1983-05-14,1982-09-12,69475479980,33146322272,Naro-Fominsk,"г. Усть-Камчатск, пр. Металлургов, д. 25, 990192",Революция сенсационных интерфейсов,79864652736,93610431016
ООО «Игнатьева Силин»,9028679392424,"г. Воткинск, алл. Высоковольтная, д. 3 к. 8/7, 680488",Никифор Елизарович Прохоров,Механик,641538282011,85225226998,hohlovaoksana@komissarov.info,ao.edu,1994-07-25,2019-01-06,26876231392,99054933405,Yablonovskiy,"с. Троицко-Печорск, ул. Лунная, д. 8/5 к. 1, 144454",Формирование совместных порталов,90635588314,43503849636
НПО «Сергеева»,8259498631696,"клх Плес, ул. Розы Люксембург, д. 760 к. 67, 798403",Ермил Устинович Фокин,Инженер,682181592872,+7 (097) 892-94-16,maja1980@shilov.ru,zao.ru,1977-06-15,2008-06-17,55082190677,34368937094,Novopavlovsk,"с. Поронайск, пер. Фестивальный, д. 5 стр. 9, 909094",Оптимизация распределённых инфопосредников,5556283619,21601862522
Российские железные дороги,7610773837080,"к. Заводоуковск, наб. Щетинкина, д. 9 к. 3, 832190",Андреев Данила Елизарович,Тестировщик,812729265571,8 726 719 36 52,koshelevnestor@npo.biz,rao.ru,1983-01-23,1987-11-25,60059173302,95829977502,Bogoroditsk,"д. Калязин, бул. Ульяновский, д. 8/7 стр. 3/9, 316929",Культивация виртуальных архитектур,81782819584,36598949239
Авилон АГ,2215031157233,"п. Киренск, ул. Новосельская, д. 7, 736744",Трофимов Святополк Арсеньевич,Следователь,246181878243,80386614248,aleksandr_59@kamensk-uralski.biz,tsentr.com,1983-01-07,1993-10-03,33131061302,51488745109,Severodvinsk,"с. Майкоп, бул. Высокий, д. 11 стр. 1/4, 114491",Монетизация B2C пользователей,29271145972,68655720328
ЗАО «Тихонова Абрамова»,6322312306709,"клх Беломорск, алл. Портовая, д. 780 к. 17, 298140",Артемьев Агап Тарасович,Оператор кино и телевидения,447901012904,8 967 345 2682,svasileva@npo.org,ao.ru,2003-01-23,1993-09-16,34151733498,21161860298,Kolomyagi,"ст. Адлер, наб. Партизанская, д. 6/5 стр. 6/4, 898552",Продление наглядных архитектур,77710185998,4972008478
РАО «Калинин-Громов»,9737365117269,"г. Когалым, пр. Семашко, д. 6, 620873",Попов Анисим Валерьевич,Огнемётчик,581531230312,8 423 804 61 52,onikiforova@zao.info,ustinov.info,2008-03-13,1998-01-31,37970770851,51896290848,Tavda,"ст. Калуга, пер. Коммуны, д. 5/2, 765234",Внедрение расширяемых интернет-компаний,43018132207,4183525194
А.П.Р.,2501824131634,"клх Йошкар-Ола, бул. Фрунзе, д. 42 к. 9, 029016",тов. Селиверстов Наум Викентьевич,Торакальный хирург,500480544925,+7 866 384 7220,mechislavbobilev@oao.ru,rao.com,2016-08-19,1993-09-20,39312053829,98929416316,Mikhaylovka,"д. Усть-Илимск, бул. Шмидта, д. 4 стр. 75, 553118",Адаптация прозрачных схем,73155794848,46752008094
"ОАО «Данилов, Пестов и Лапин»",9952859307223,"д. Соликамск, пр. Ленина, д. 3, 661953",Мухин Бронислав Матвеевич,Парфюмер,280452832937,+75281242844,idementeva@moiseev.biz,zao.net,2008-11-26,2012-09-08,74786038873,54972849413,Privolzhskiy,"клх Златоуст, ш. Ворошилова, д. 911 стр. 87, 356728",Культивация сенсационных сетей,35518875741,11792350839
"РАО «Некрасов, Лыткина и Воробьев»",3230931767415,"д. Избербаш, ул. Механическая, д. 70 стр. 4/1, 194576",Князев Валерьян Аксёнович,Токсиколог,195142638722,+7 846 729 70 53,svjatopolk05@evrohim.ru,zatseva.ru,2012-02-13,1982-12-01,55611582620,62298003572,Nizhniy Lomov,"клх Борзя, ш. Коллективное, д. 2/3, 824929",Генерация богатых платформ,86168564928,27704643979
ЗАО «Кононова»,2624429250979,"ст. Внуково (метеост.), пер. Пархоменко, д. 193 к. 4, 436167",Потапов Аггей Артемьевич,Иммунолог,766327301251,+77125138709,fominmarian@zao.com,rao.com,1970-02-23,1989-04-07,79966172331,68037340518,Bogoroditsk,"клх Кош-Агач, бул. Угольный, д. 690, 976520",Генерация корпоративных областей интереса,25936672850,59550242664
Фокин и партнеры,8003998056986,"п. Ельня, алл. Угольная, д. 4/6 к. 8/8, 807099",Романов Максим Георгиевич,Тюремный надзиратель,897420523262,+7 670 244 3760,filippovlavrenti@yandex.ru,ooo.ru,1983-11-10,1990-11-20,21476952267,29780268857,Novopavlovsk,"к. Билибино, алл. Тенистая, д. 6/4, 760094",Продление соблазнительных сообществ,78401659908,78677831253
ОАО «Шарапов Овчинников»,1543374215092,"с. Темрюк, ул. Горького, д. 5 к. 8, 155306",Гущин Амвросий Дорофеевич,Врач функциональной диагностики,126259856639,+7 (609) 492-1534,alekseevhariton@hotmail.com,oao.ru,2014-11-21,2007-11-14,33434876961,15541470080,Kuvandyk,"клх Валаам, алл. Механизаторов, д. 653, 358190",Итерация стратегических архитектур,47116128568,51313898627
Анисимов и партнеры,4181561761539,"с. Дербент, пер. Городской, д. 571 к. 8, 682246",Селезнев Авдей Августович,Издатель,430987130018,8 (190) 968-4932,filippovaolga@zao.net,oao.biz,1992-08-16,2002-05-16,91802471733,18118336686,Bavly,"с. Волгоград, пр. Клары Цеткин, д. 8, 125735",Развитие интегрированных порталов,70342433293,64488133569
Веселова Инкорпорэйтед,8382156561516,"с. Усмань, ул. Ульяновская, д. 8/5 к. 439, 568733",Мишин Харлампий Федосьевич,Экспедитор,310163740295,88673940747,shestakovnikandr@ao.info,ooo.com,2015-05-18,2005-01-19,99219669609,55884998838,Severodvinsk,"п. Александров, пер. Социалистический, д. 9/8 стр. 2/8, 263368",Переопределение активных инициатив,81271101963,5863828108
Новартис Фарма (Novartis),5808078390828,"д. Хатанга, ул. Энгельса, д. 65 к. 53, 594509",Родион Тихонович Сорокин,Метранпаж,299222521497,8 (127) 205-9385,kuzminharlampi@ip.ru,npo.net,1999-09-21,1997-02-14,38826566675,90596619655,Nizhniy Lomov,"к. Петрозаводск, наб. Пархоменко, д. 89 к. 68, 158052",Синтез совместных веб-сервисов,74842066474,89266134645
Марвел КТ,8946206629738,"ст. Верхоянск, бул. Линейный, д. 46 к. 4, 457551",Хохлов Остромир Александрович,Экспедитор на дальних поездках,646685244561,+7 (179) 074-03-45,noskovtimur@rao.info,zao.com,2012-09-06,2014-02-05,87820411383,50680327388,Naro-Fominsk,"п. Ивдель, ш. Огородное, д. 3/4 к. 20, 136419",Приспособление целостных архитектур,92699519627,37961432903
РАО «Потапов»,1940879678014,"д. Касимов, наб. Волжская, д. 43, 806510",Савелий Даниилович Филатов,Робототехник,873191383820,8 (853) 152-0694,borislavsobolev@yandex.ru,npo.org,1989-09-15,2006-08-27,62621717872,43425553562,Oktyabr‚Äôskiy,"д. Одинцово, пер. Пархоменко, д. 613, 639911",Приспособление современных интернет-услуг,33878832285,39081341399
Маркова Инк,6823377854853,"г. Ревда (Сверд.), ш. Свердлова, д. 746 стр. 15, 528095",Лучезар Трофимович Наумов,Инженер-гальваник,657038381012,8 768 285 6913,simonovirakli@ao.com,zao.ru,1975-08-31,2007-09-28,53921135111,31193123445,Kashira,"д. Северодвинск, ул. Шоссейная, д. 57 стр. 7, 333786",Культивация притягательных интернет-продавцоы,12822591820,74492269947
РАО «Гущина-Карпова»,3113033274783,"г. Морозовск, ш. Пограничное, д. 94, 754002",Артемий Владленович Блохин,Профпатолог,948029225406,+7 (690) 344-23-70,mstislav_2008@rambler.ru,ao.ru,1984-11-08,2009-10-19,88030722275,99691980165,Petrozavodsk,"д. Лагань, наб. Смирнова, д. 7/6, 027403",Переопределение онлайн и офлайн областей интереса,7015144174,95203072155
Энергосбытовая компания Восток,4674574089811,"п. Краснотурьинск, ш. Красногвардейское, д. 2/4, 688045",Роман Феодосьевич Алексеев,Радист,725452097724,88911449040,abirjukov@yahoo.com,loreal.net,2016-05-05,2019-05-17,73955778489,63687023536,Gavrilov-Yam,"с. Кизел, пер. Мира, д. 51 к. 46, 479223",Инновация богатых функций,17319576070,88279242283
"РАО «Кононова, Одинцова и Наумов»",1273217139963,"с. Серпухов, ш. Логовое, д. 5/1, 943842",Егор Вячеславович Новиков,Корректировщик,860475372268,+7 (456) 499-75-41,semenvladimirov@zao.info,zao.net,1997-04-09,1998-06-10,52084218465,43333593482,Yashkino,"г. Чикола, ул. Мелиораторов, д. 795 стр. 92, 707275",Включение богатых знаний,8618434454,6471597429
АО «Рябова Лазарева»,3763141504864,"клх Ербогачен, наб. Ильича, д. 610, 857273",Любосмысл Брониславович Ильин,Психолог,706966142477,8 499 545 22 34,spiridon_1977@npo.org,rao.net,1987-02-22,1990-12-09,14885725916,15992382953,Danilov,"к. Нарым, алл. Семашко, д. 8/1 к. 59, 270684",Генерация веб-ориентированных взаимодействий,94432947054,85724578630
ГК Агро-Белогорье,9351184798051,"г. Тарко-Сале, алл. Ермака, д. 8/2 стр. 4, 332447",Семен Тимурович Калашников,Врач скорой помощи,590538076039,+7 (898) 770-2353,afanasi1976@zao.biz,uralkali.edu,1990-08-10,1995-11-21,49033707173,11765345262,Buynaksk,"п. Ирбит, пр. Лесхозный, д. 9 стр. 1, 634241",Реализация инновационных сетей,74335689850,60964600817
Техкомпания Хуавэй (Huawei),1524450675621,"клх Находка, наб. Портовая, д. 8/7, 999020",Афанасьев Рюрик Эдгардович,Безработный,415557497037,8 (848) 386-17-62,simonovmark@oao.org,oao.biz,2010-02-03,1979-01-22,74830521129,25128319698,Nikolayevsk-on-Amure,"г. Змеиногорск, пер. Папанина, д. 355 к. 223, 494360",Переосмысление расширяемых областей интереса,78619330998,75004358419
Лига ставок,1210263888171,"к. Пенза, ш. Розы Люксембург, д. 1/7, 540133",Гостомысл Игнатович Лапин,Геодезист,817648134701,86982442436,tretjakovvenedikt@ao.com,gurev.ru,1978-11-21,2010-05-09,34699026546,20471213643,Yeysk,"п. Сузун, пер. Железнодорожный, д. 337, 680554",Синхронизация престижных порталов,1550244340,3666287508
НПО «Игнатьев Цветков»,3130390142665,"д. Красноярск, пер. Локомотивный, д. 560 стр. 70, 230187",Измаил Бенедиктович Мамонтов,Адвокат,192518356612,+7 (493) 117-78-13,kazimirfedoseev@ooo.ru,zao.net,2016-02-06,1981-07-22,89660618766,68850408412,Gavrilov-Yam,"клх Лотошино, наб. Космическая, д. 8 к. 624, 771388",Внедрение богатых интернет-магазинов,18485545172,92758479711
НПО «Боброва Блинов»,2932502458140,"клх Цимлянск, ул. Заречная, д. 6/7 стр. 643, 397218",Казаков Ферапонт Валентинович,Веб-интегратор,653798670054,87567375657,bazhenvorontsov@ip.com,zao.net,1980-06-30,2008-03-15,94171123564,77175668375,Lesozavodsk,"с. Лесной (Сверд.), наб. Макарова, д. 4 к. 6, 231705",Генерация открытых интернет-продавцоы,38626343504,17481766153
Сазонов Инк,8383033802078,"п. Сарапул, наб. 60 лет Октября, д. 736 стр. 6, 107730",Дроздов Ювеналий Юлианович,Инженер-энергетик,600958529354,8 703 114 4499,pgrishina@ab.ru,npo.info,1987-11-07,2019-11-05,75148444908,28327520078,Solntsevo,"г. Бологое, бул. Труда, д. 96 стр. 3/8, 072075",Развитие ультрасовременных метрик,98919166597,71693934399
РАО «Родионов-Никонов»,9347633695138,"клх Муравленко, наб. Логовая, д. 2/8 стр. 102, 174283",Станимир Димитриевич Сорокин,Машинист локомотива,283081417246,+7 (801) 951-68-22,rkrasilnikova@npo.biz,rao.org,1998-02-27,1989-04-28,33442293112,68829354360,Solntsevo,"д. Южно-Сахалинск, ул. Челюскинцев, д. 512 стр. 434, 009807",Итерация концептуальных пользователей,97193569258,23588039602
Тетра Пак (Tetra Pak),6812089812666,"ст. Санкт-Петербург, пер. Краснознаменный, д. 77 стр. 3, 122386",Харлампий Алексеевич Игнатьев,Биоинженер,271011690615,+75128733627,viktor_1980@gmail.com,beljaeva.org,2008-11-26,1976-07-21,65685202778,69271521897,Bavly,"к. Плесецк, пр. Нижний, д. 23, 540525",Ускорение кроссплатформенных технологий,71264569864,57268704622
ТАИФ-НК,9710326215368,"д. Любань, пер. Донской, д. 19 стр. 2, 968859",Семен Зиновьевич Кошелев,Операционист,782372718125,8 (289) 799-98-49,bblohina@gmail.com,sitnikov.ru,1997-01-18,1999-01-29,80036383780,95198528007,Buynaksk,"к. Гремячинск (Бурят.), ул. Трудовая, д. 6 стр. 5, 977923",Преображение серверных интернет-продавцоы,56651992627,91089176288
Колесников Инкорпорэйтед,7225229221291,"с. Пушкино (Моск.), ш. Отрадное, д. 40, 878076",Савва Борисович Антонов,Швейцар,111910860945,8 (657) 804-2439,fekla_33@oao.edu,ip.biz,1981-05-15,2009-05-09,42148759008,99681432191,Kuvandyk,"клх Орел, бул. Ленинский, д. 77 к. 2/2, 913887",Переосмысление круглосуточных архитектур,56626500254,76012245315
Соколова Лимитед,1570745417379,"клх Нягань, наб. Морозова, д. 484 стр. 4, 366925",Игнатов Севастьян Гордеевич,Инженер-механик,871503698182,+75027314968,gaksenov@gmail.com,oao.ru,1998-04-28,2013-06-11,89715154351,82905723732,Kovylkino,"г. Троицко-Печорск, ул. Красноярская, д. 8, 836206",Модернизация инновационных действий,49564757211,28629560452
Деловые линии,1378067001131,"п. Дербент, ш. Подстанция, д. 5/8 к. 8/8, 916215",Аркадий Харитонович Антонов,Андролог,664306216794,86260010162,nina_83@hotmail.com,ooo.edu,1982-11-19,2015-11-20,74403669391,27404232612,Bavly,"г. Егорьевск, пер. Курганный, д. 49 к. 7, 189244",Включение вертикальных парадигм,65347989747,45578881633
Сысоев Групп,8127090579018,"г. Белореченск, бул. Восьмого Марта, д. 657, 711342",Кириллов Клавдий Вячеславович,Сварщик,683933366928,8 (395) 441-21-44,kudrjashovaverki@shilova.org,npo.biz,1999-09-10,1984-04-21,68250199512,66225142994,Nizhniy Lomov,"с. Мценск, пр. Мусы Джалиля, д. 454, 238905",Эксплуатация серверных интернет-компаний,48420475062,9313077727
"НПО «Нестерова, Яковлев и Новикова»",8289181589320,"к. Кыштым, бул. Юбилейный, д. 48 к. 9/4, 430118",Кулагин Емельян Эдгардович,Дизайнер-конструктор,879473672756,+78906988404,juvenaligorshkov@gmail.com,shilov.net,1988-03-02,1992-02-01,17632732646,72391584877,Lesozavodsk,"клх Старый Оскол, бул. Горный, д. 5/9, 620063",Распределение богатых пользователей,16850245959,90044373810
